method, log time, mIoU last, mAcc last, last eval, mIoU best, mAcc best, best eval
fcn-resize-concat_litehr18-with-head_512x1024_8x2_160k_cityscapes, 20210814_130915.log.json, 71.81, 80.60000000000001, 10, 71.81, 80.60000000000001, 10
fcn-resize-concat_litehr18-with-head_512x1024_8x2_320k_cityscapes, 20210819_165303.log.json, 71.96000000000001, 80.43, 10, 71.96000000000001, 80.43, 10
fcn-resize-concat_litehr18-with-head_512x1024_8x2_640k_cityscapes, 20210827_033607.log.json, 69.28999999999999, 78.91, 8, 69.28999999999999, 78.91, 8
fcn-resize-concat_litehr18-without-head_512x1024_8x2_160k_cityscapes, 20210813_113814.log.json, 68.99, 77.63, 10, 68.99, 77.63, 10
fcn-resize-concat_litehr18-without-head_512x1024_8x2_320k_cityscapes, 20210818_202535.log.json, 70.42, 78.72, 10, 70.42, 78.72, 10
fcn-resize-concat_litehr18-without-head_512x1024_8x2_640k_cityscapes, 20210827_165824.log.json, 67.12, 75.84, 7, 67.12, 75.84, 7
fcn-resize-concat_litehr30-with-head_512x1024_8x2_160k_cityscapes, 20210814_071016.log.json, 73.81, 82.42, 10, 73.81, 82.42, 10
fcn-resize-concat_litehr30-with-head_512x1024_8x2_320k_cityscapes, 20210819_163934.log.json, 74.46000000000001, 82.41000000000001, 10, 74.46000000000001, 82.41000000000001, 10
fcn-resize-concat_litehr30-with-head_512x1024_8x2_640k_cityscapes, 20210826_154110.log.json, 69.15, 79.65, 6, 69.15, 79.65, 6
fcn-resize-concat_litehr30-without-head_512x1024_8x2_160k_cityscapes, 20210813_110906.log.json, 72.11, 80.72, 10, 72.11, 80.72, 10
fcn-resize-concat_litehr30-without-head_512x1024_8x2_320k_cityscapes, 20210819_115746.log.json, 72.11999999999999, 80.15, 10, 72.11999999999999, 80.15, 10
fcn-resize-concat_litehr30-without-head_512x1024_8x2_640k_cityscapes, 20210827_170041.log.json, 67.31, 77.75999999999999, 5, 67.31, 77.75999999999999, 5
fcn_litehr18-with-head_512x1024_8x2_160k_cityscapes, 20210814_151622.log.json, 71.49, 79.95, 10, 71.49, 79.95, 10
fcn_litehr18-with-head_512x1024_8x2_320k_cityscapes, 20210818_214038.log.json, 73.03, 81.35, 10, 73.03, 81.35, 10
fcn_litehr18-with-head_512x1024_8x2_640k_cityscapes, 20210827_033607.log.json, 68.06, 76.67, 8, 68.26, 77.17, 7
fcn_litehr18-without-head_512x1024_8x2_160k_cityscapes, 20210814_144602.log.json, 69.43, 78.14999999999999, 10, 69.43, 78.14999999999999, 10
fcn_litehr18-without-head_512x1024_8x2_320k_cityscapes, 20210818_180309.log.json, 70.61, 78.86999999999999, 10, 70.61, 78.86999999999999, 10
fcn_litehr18-without-head_512x1024_8x2_640k_cityscapes, 20210827_095527.log.json, 63.83, 73.11, 4, 63.83, 73.11, 4
fcn_litehr30-with-head_512x1024_8x2_160k_cityscapes, 20210814_053600.log.json, 72.65, 81.36, 10, 72.65, 81.36, 10
fcn_litehr30-with-head_512x1024_8x2_320k_cityscapes, 20210818_221830.log.json, 74.98, 83.22, 10, 74.98, 83.22, 10
fcn_litehr30-with-head_512x1024_8x2_640k_cityscapes, 20210826_205643.log.json, 69.11, 78.88, 6, 69.11, 78.88, 6
fcn_litehr30-without-head_512x1024_8x2_160k_cityscapes, 20210814_011910.log.json, 72.78, 81.37, 10, 72.78, 81.37, 10
fcn_litehr30-without-head_512x1024_8x2_320k_cityscapes, 20210819_110256.log.json, 72.37, 80.28999999999999, 10, 72.37, 80.28999999999999, 10
fcn_litehr30-without-head_512x1024_8x2_640k_cityscapes, 20210828_065543.log.json, 63.53, 74.6, 4, 65.91, 75.91, 3
